currentId,title,overview,genres,runtime,releaseDate,posterPath
39,Money Train,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.","Action, Comedy, Crime",103.0,1995-11-21,https://flixpatrol.com/runtime/cache/files/posters/g/w350/jSozzzVOR2kfXgTUuGnbgG2yRFi.jpg
44,Get Shorty,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.","Comedy, Thriller, Crime",105.0,1995-10-20,https://flixpatrol.com/runtime/cache/files/posters/g/w350/vWtDUUgQAsVyvRW4mE75LBgVm2e.jpg
47,Copycat,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,"Drama, Thriller",124.0,1995-10-27,https://flixpatrol.com/runtime/cache/files/posters/g/w350/80czeJGSoik22fhtUM9WzyjUU4r.jpg
50,Assassins,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.","Action, Adventure, Crime, Thriller",132.0,1995-10-06,https://flixpatrol.com/runtime/cache/files/posters/g/w350/xAx5MP7Dg4y85pyS7atX6eWk4Qd.jpg
52,Powder,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.","Drama, Fantasy, Thriller",111.0,1995-10-27,https://flixpatrol.com/runtime/cache/files/posters/g/w350/1uRKsxOCtgz0xVqs9l4hYtp4dFm.jpg
